filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste.py,fib,27,0.0052,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,28,0.10991,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,28,0.00468,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,29,0.09677,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,29,0.00481,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,30,0.09316,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,30,0.00468,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,31,0.11807,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,31,0.005,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,32,0.1339,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,32,0.0047,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,33,0.1411,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,33,0.00519,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,34,0.11409,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,34,0.00481,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,35,0.11421,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,35,0.0049,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,36,0.11871,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,36,0.00503,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,37,0.13707,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,37,0.0048,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,38,0.14436,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,38,0.00472,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,39,0.1307,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,39,0.00629,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,40,0.109,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,40,0.00522,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,41,0.14128,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,41,0.00509,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,42,0.13109,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,42,0.00472,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,43,0.13932,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,43,0.00504,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,44,0.11968,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,44,0.00483,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,45,0.09937,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,45,0.00495,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,46,0.14174,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,46,0.00487,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,47,0.13566,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,47,0.00493,2d-ad,pickle,db,False,md5,True,True
